ResinType,ResinPercentage,ResinSupplier,PigmentType,PigmentPercentage,PigmentSupplier,SolventType,SolventPercentage,SolventSupplier,Gloss,Viscosity,HidingPower,IsSuccess,Dispersant_Percentage,Dispersant_Supplier,Thickener_Percentage,Thickener_Supplier,Defoamer_Percentage,Defoamer_Supplier,TotalSolidsContent,SimulatedPVC,SolventToResinRatio,Resin_Pigment_Combo,Resin_Solvent_Combo,Pigment_Solvent_Combo
Epoxy,51.66,SupplierF_Resin,Organic Blue,20.22,SupplierL_Pigment,Mineral Spirits,18.47,SupplierO_Solvent,42.24,1669.4,43.36,0,4.71,SupplierR_Add,4.93,SupplierU_Add,0.0,None,81.52,0.248,0.36,Epoxy_Organic Blue,Epoxy_Mineral Spirits,Organic Blue_Mineral Spirits
Epoxy,50.35,SupplierE_Resin,Iron Oxide Red,24.23,SupplierI_Pigment,Xylene,,SupplierQ_Solvent,34.84,899.03,48.7,0,0.0,None,0.0,None,4.52,SupplierV_Add,79.1,0.3063,0.42,Epoxy_Iron Oxide Red,Epoxy_Xylene,Iron Oxide Red_Xylene
Epoxy,,SupplierF_Resin,Iron Oxide Red,22.2,SupplierJ_Pigment,Xylene,21.72,SupplierP_Solvent,40.44,2286.64,48.09,0,4.27,SupplierS_Add,3.9,SupplierT_Add,0.0,None,78.29,0.2836,0.45,Epoxy_Iron Oxide Red,Epoxy_Xylene,Iron Oxide Red_Xylene
Acrylic,47.44,SupplierB_Resin,Organic Blue,29.2,SupplierK_Pigment,Water,18.05,SupplierM_Solvent,29.58,845.96,39.85,0,,None,1.41,SupplierT_Add,3.9,SupplierV_Add,81.95,0.3563,0.38,Acrylic_Organic Blue,Acrylic_Water,Organic Blue_Water
Epoxy,45.66,SupplierE_Resin,Titanium Dioxide,34.3,SupplierG_Pigment,Water,17.45,SupplierM_Solvent,39.99,1261.2,97.0,0,2.59,SupplierR_Add,0.0,None,0.0,None,82.55,0.4155,0.38,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Epoxy,,SupplierE_Resin,Titanium Dioxide,26.77,SupplierG_Pigment,Mineral Spirits,13.98,SupplierN_Solvent,43.93,1748.42,86.44,0,4.91,SupplierS_Add,2.84,SupplierU_Add,0.0,None,86.02,0.3112,0.27,Epoxy_Titanium Dioxide,Epoxy_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Epoxy,50.03,SupplierF_Resin,Organic Blue,26.62,SupplierK_Pigment,Mineral Spirits,18.05,SupplierN_Solvent,52.82,778.66,36.23,0,3.6,SupplierR_Add,0.0,None,1.7,SupplierW_Add,81.95,0.3248,0.36,Epoxy_Organic Blue,Epoxy_Mineral Spirits,Organic Blue_Mineral Spirits
Acrylic,42.66,SupplierA_Resin,Organic Blue,30.23,SupplierL_Pigment,Xylene,17.3,SupplierQ_Solvent,44.28,,46.72,0,0.0,None,4.87,SupplierT_Add,4.94,SupplierV_Add,82.7,0.3655,0.41,Acrylic_Organic Blue,Acrylic_Xylene,Organic Blue_Xylene
Epoxy,42.23,SupplierE_Resin,Organic Blue,28.9,SupplierK_Pigment,Xylene,24.43,SupplierQ_Solvent,,532.67,39.02,0,4.44,SupplierR_Add,0.0,None,0.0,None,75.57,0.3824,0.58,Epoxy_Organic Blue,Epoxy_Xylene,Organic Blue_Xylene
Alkyd,48.78,SupplierC_Resin,Titanium Dioxide,26.62,SupplierG_Pigment,Mineral Spirits,16.25,SupplierO_Solvent,16.37,1602.78,69.34,0,0.0,None,4.19,SupplierU_Add,4.16,SupplierV_Add,83.75,0.3179,0.33,Alkyd_Titanium Dioxide,Alkyd_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Acrylic,46.58,SupplierB_Resin,Titanium Dioxide,28.92,SupplierH_Pigment,Mineral Spirits,20.7,SupplierN_Solvent,31.67,807.63,67.96,1,0.0,None,1.48,SupplierT_Add,2.32,SupplierW_Add,79.3,,0.44,Acrylic_Titanium Dioxide,Acrylic_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Acrylic,52.18,SupplierB_Resin,Iron Oxide Red,23.05,SupplierJ_Pigment,Mineral Spirits,22.66,SupplierN_Solvent,19.75,754.88,34.18,0,2.11,SupplierS_Add,0.0,None,0.0,None,77.34,0.298,0.43,Acrylic_Iron Oxide Red,Acrylic_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Alkyd,43.42,SupplierC_Resin,Iron Oxide Red,34.62,SupplierJ_Pigment,Mineral Spirits,19.89,SupplierN_Solvent,13.85,809.81,64.64,0,0.0,None,0.0,None,2.07,SupplierW_Add,80.11,0.4322,0.46,Alkyd_Iron Oxide Red,Alkyd_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Acrylic,51.34,SupplierA_Resin,Iron Oxide Red,23.22,SupplierI_Pigment,Mineral Spirits,16.28,SupplierN_Solvent,,763.08,38.42,1,4.33,SupplierR_Add,0.0,None,4.83,SupplierW_Add,,0.2774,0.32,Acrylic_Iron Oxide Red,Acrylic_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Alkyd,45.56,SupplierC_Resin,Organic Blue,31.83,SupplierL_Pigment,Water,18.99,SupplierM_Solvent,17.45,849.98,28.08,0,0.0,None,0.0,None,3.62,SupplierV_Add,81.01,0.3929,0.42,Alkyd_Organic Blue,Alkyd_Water,Organic Blue_Water
Acrylic,52.68,SupplierA_Resin,Titanium Dioxide,30.83,SupplierG_Pigment,Water,14.92,SupplierM_Solvent,28.34,1830.73,71.98,0,0.0,None,0.0,None,1.57,SupplierW_Add,85.08,0.3624,0.28,Acrylic_Titanium Dioxide,Acrylic_Water,Titanium Dioxide_Water
Acrylic,48.54,SupplierB_Resin,Iron Oxide Red,27.78,SupplierJ_Pigment,Water,20.76,SupplierM_Solvent,,485.76,45.71,0,0.0,None,0.0,None,2.92,SupplierV_Add,79.24,0.3506,0.43,Acrylic_Iron Oxide Red,Acrylic_Water,Iron Oxide Red_Water
Alkyd,,SupplierC_Resin,Organic Blue,26.38,SupplierL_Pigment,Mineral Spirits,24.16,SupplierO_Solvent,25.72,744.49,34.26,0,,SupplierR_Add,0.0,None,0.0,None,75.84,0.3478,0.51,Alkyd_Organic Blue,Alkyd_Mineral Spirits,Organic Blue_Mineral Spirits
Alkyd,49.06,SupplierC_Resin,Iron Oxide Red,25.23,SupplierI_Pigment,Water,20.35,SupplierM_Solvent,,835.11,44.92,0,3.1,SupplierS_Add,2.26,SupplierT_Add,0.0,None,79.65,0.3168,0.41,Alkyd_Iron Oxide Red,Alkyd_Water,Iron Oxide Red_Water
Acrylic,50.68,SupplierA_Resin,Organic Blue,32.39,SupplierL_Pigment,Xylene,15.88,SupplierQ_Solvent,44.8,954.84,50.62,0,0.0,None,1.05,SupplierU_Add,0.0,None,84.12,0.385,0.31,Acrylic_Organic Blue,Acrylic_Xylene,Organic Blue_Xylene
Alkyd,51.47,SupplierC_Resin,Titanium Dioxide,31.95,SupplierG_Pigment,Xylene,15.34,SupplierQ_Solvent,4.06,1497.95,88.26,0,,None,1.24,SupplierT_Add,0.0,None,84.66,0.3774,0.3,Alkyd_Titanium Dioxide,Alkyd_Xylene,Titanium Dioxide_Xylene
Epoxy,54.99,SupplierF_Resin,Iron Oxide Red,30.69,SupplierJ_Pigment,Xylene,11.98,SupplierQ_Solvent,39.26,1625.55,55.03,1,2.34,SupplierR_Add,0.0,None,0.0,None,88.02,0.3487,0.22,Epoxy_Iron Oxide Red,Epoxy_Xylene,Iron Oxide Red_Xylene
Alkyd,51.54,SupplierD_Resin,Organic Blue,30.38,SupplierL_Pigment,Water,14.79,SupplierM_Solvent,20.69,1343.69,44.15,1,0.0,None,0.71,SupplierT_Add,2.59,SupplierV_Add,85.22,0.3565,0.29,Alkyd_Organic Blue,Alkyd_Water,Organic Blue_Water
Alkyd,49.72,SupplierC_Resin,Iron Oxide Red,27.92,SupplierJ_Pigment,Xylene,15.93,SupplierQ_Solvent,17.71,753.64,68.57,0,4.86,SupplierS_Add,0.0,None,1.57,SupplierV_Add,84.07,0.3321,0.32,Alkyd_Iron Oxide Red,Alkyd_Xylene,Iron Oxide Red_Xylene
Acrylic,54.15,SupplierB_Resin,Iron Oxide Red,26.39,SupplierI_Pigment,Water,18.72,SupplierM_Solvent,31.67,1057.1,40.75,0,0.74,SupplierR_Add,0.0,None,0.0,None,81.28,0.3247,0.35,Acrylic_Iron Oxide Red,Acrylic_Water,Iron Oxide Red_Water
Epoxy,48.89,SupplierF_Resin,Titanium Dioxide,28.18,SupplierG_Pigment,Water,19.1,SupplierM_Solvent,32.53,2339.75,76.72,0,0.61,SupplierS_Add,3.22,SupplierU_Add,0.0,None,80.9,0.3483,0.39,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Alkyd,42.13,SupplierC_Resin,Organic Blue,34.57,SupplierL_Pigment,Mineral Spirits,15.83,SupplierN_Solvent,28.06,865.81,45.83,0,4.68,SupplierR_Add,2.79,SupplierU_Add,,None,84.17,0.4107,0.38,Alkyd_Organic Blue,Alkyd_Mineral Spirits,Organic Blue_Mineral Spirits
Acrylic,45.29,SupplierB_Resin,Iron Oxide Red,29.43,SupplierJ_Pigment,Xylene,19.22,SupplierQ_Solvent,27.81,1266.42,58.92,0,2.14,SupplierS_Add,3.93,SupplierU_Add,0.0,None,80.79,0.3643,,Acrylic_Iron Oxide Red,Acrylic_Xylene,Iron Oxide Red_Xylene
Epoxy,56.24,SupplierF_Resin,Titanium Dioxide,23.72,SupplierG_Pigment,Xylene,17.44,SupplierP_Solvent,36.88,1722.76,56.53,0,0.68,SupplierR_Add,0.0,None,1.92,SupplierV_Add,82.56,0.2873,0.31,Epoxy_Titanium Dioxide,Epoxy_Xylene,Titanium Dioxide_Xylene
Alkyd,49.06,SupplierC_Resin,Iron Oxide Red,27.64,SupplierJ_Pigment,Water,18.57,SupplierM_Solvent,29.43,361.24,48.11,0,4.73,SupplierR_Add,0.0,None,,None,81.43,0.3394,0.38,Alkyd_Iron Oxide Red,Alkyd_Water,Iron Oxide Red_Water
Epoxy,45.79,SupplierF_Resin,Organic Blue,31.32,SupplierK_Pigment,Water,18.07,SupplierM_Solvent,37.65,1539.15,55.83,1,2.24,SupplierR_Add,2.58,SupplierU_Add,0.0,None,81.93,0.3823,,Epoxy_Organic Blue,Epoxy_Water,Organic Blue_Water
Acrylic,53.09,SupplierB_Resin,Organic Blue,26.62,SupplierK_Pigment,Mineral Spirits,15.14,SupplierO_Solvent,,,28.34,0,0.7,SupplierR_Add,,SupplierU_Add,0.0,None,84.86,0.3137,0.29,Acrylic_Organic Blue,Acrylic_Mineral Spirits,Organic Blue_Mineral Spirits
Epoxy,46.58,SupplierE_Resin,Titanium Dioxide,30.85,SupplierH_Pigment,Water,,SupplierM_Solvent,31.83,,,0,0.0,None,3.98,SupplierT_Add,0.0,None,81.41,0.3789,0.4,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Acrylic,52.9,SupplierB_Resin,Organic Blue,27.39,SupplierL_Pigment,Xylene,12.95,SupplierP_Solvent,31.11,581.64,37.87,0,3.86,SupplierR_Add,0.0,None,,SupplierW_Add,87.05,0.3146,0.24,Acrylic_Organic Blue,Acrylic_Xylene,Organic Blue_Xylene
Epoxy,53.68,SupplierE_Resin,Organic Blue,30.65,SupplierL_Pigment,Water,14.52,SupplierM_Solvent,45.36,,38.6,0,0.0,None,1.15,SupplierU_Add,0.0,None,85.48,0.3586,0.27,Epoxy_Organic Blue,Epoxy_Water,Organic Blue_Water
Epoxy,43.29,SupplierF_Resin,Iron Oxide Red,26.98,SupplierI_Pigment,Mineral Spirits,24.45,SupplierN_Solvent,26.28,,52.25,0,,SupplierR_Add,1.47,SupplierU_Add,0.0,None,75.55,0.3571,0.56,Epoxy_Iron Oxide Red,Epoxy_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Alkyd,43.76,SupplierC_Resin,Titanium Dioxide,30.31,SupplierG_Pigment,Mineral Spirits,22.02,SupplierN_Solvent,12.59,954.17,84.61,0,2.27,SupplierR_Add,1.65,SupplierT_Add,0.0,None,77.99,0.3886,0.5,Alkyd_Titanium Dioxide,Alkyd_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Alkyd,53.52,SupplierC_Resin,Organic Blue,25.91,SupplierK_Pigment,Water,16.21,SupplierM_Solvent,21.37,1759.07,34.46,0,0.0,None,3.66,SupplierT_Add,0.7,SupplierV_Add,83.79,0.3092,0.3,Alkyd_Organic Blue,Alkyd_Water,Organic Blue_Water
Epoxy,55.58,SupplierE_Resin,Organic Blue,32.73,SupplierK_Pigment,Xylene,11.14,SupplierQ_Solvent,44.01,1587.1,41.63,0,0.0,None,0.55,SupplierU_Add,,None,88.86,0.3683,0.2,Epoxy_Organic Blue,Epoxy_Xylene,Organic Blue_Xylene
Acrylic,53.56,SupplierA_Resin,Organic Blue,26.3,SupplierL_Pigment,Water,18.4,SupplierM_Solvent,33.02,1082.97,28.52,0,0.0,None,1.74,SupplierU_Add,0.0,None,,0.3223,0.34,Acrylic_Organic Blue,Acrylic_Water,Organic Blue_Water
Acrylic,49.93,SupplierA_Resin,Organic Blue,30.14,SupplierL_Pigment,Water,17.21,SupplierM_Solvent,45.27,1131.78,44.33,0,2.72,SupplierR_Add,0.0,None,0.0,None,82.79,0.3641,0.34,Acrylic_Organic Blue,Acrylic_Water,Organic Blue_Water
Acrylic,51.49,SupplierB_Resin,Organic Blue,32.05,SupplierL_Pigment,Xylene,13.1,SupplierQ_Solvent,42.42,921.38,41.4,0,0.0,None,0.0,None,3.36,SupplierW_Add,86.9,0.3688,0.25,Acrylic_Organic Blue,Acrylic_Xylene,Organic Blue_Xylene
Alkyd,42.26,SupplierD_Resin,Iron Oxide Red,34.56,SupplierJ_Pigment,Xylene,15.29,SupplierQ_Solvent,24.12,838.64,83.34,0,3.58,SupplierR_Add,0.0,None,,SupplierW_Add,84.71,0.408,0.36,Alkyd_Iron Oxide Red,Alkyd_Xylene,Iron Oxide Red_Xylene
Acrylic,49.02,SupplierA_Resin,Titanium Dioxide,22.19,SupplierG_Pigment,Xylene,24.18,SupplierP_Solvent,31.38,1448.41,68.68,0,2.51,SupplierS_Add,2.09,SupplierT_Add,0.0,None,75.81,0.2927,0.49,Acrylic_Titanium Dioxide,Acrylic_Xylene,Titanium Dioxide_Xylene
Alkyd,46.75,SupplierD_Resin,Titanium Dioxide,38.52,SupplierG_Pigment,Mineral Spirits,11.84,SupplierO_Solvent,16.91,1758.0,88.68,0,2.89,SupplierR_Add,0.0,None,0.0,None,88.16,0.4369,0.25,Alkyd_Titanium Dioxide,Alkyd_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Acrylic,57.04,SupplierA_Resin,Titanium Dioxide,26.41,SupplierH_Pigment,Mineral Spirits,10.83,SupplierN_Solvent,38.08,1864.13,60.73,0,1.26,SupplierR_Add,4.46,SupplierU_Add,0.0,None,89.17,0.2962,0.19,Acrylic_Titanium Dioxide,Acrylic_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Acrylic,44.37,SupplierA_Resin,Iron Oxide Red,30.53,SupplierI_Pigment,Water,17.93,SupplierM_Solvent,39.72,1916.38,42.91,1,0.0,None,3.73,SupplierT_Add,3.44,SupplierW_Add,82.07,0.372,0.4,Acrylic_Iron Oxide Red,Acrylic_Water,Iron Oxide Red_Water
Alkyd,42.31,SupplierD_Resin,Organic Blue,29.94,SupplierL_Pigment,Water,23.28,SupplierM_Solvent,23.77,507.91,37.45,0,0.71,SupplierS_Add,0.0,None,,SupplierV_Add,76.71,0.3903,0.55,Alkyd_Organic Blue,Alkyd_Water,Organic Blue_Water
Epoxy,52.04,SupplierE_Resin,Organic Blue,26.11,SupplierL_Pigment,Water,17.56,SupplierM_Solvent,38.54,,40.33,0,4.29,SupplierS_Add,0.0,None,0.0,None,82.44,0.3167,0.34,Epoxy_Organic Blue,Epoxy_Water,Organic Blue_Water
Acrylic,48.29,SupplierA_Resin,Organic Blue,37.49,SupplierK_Pigment,Xylene,11.55,SupplierQ_Solvent,39.8,1445.11,52.83,0,2.67,SupplierR_Add,0.0,None,0.0,None,88.45,0.4239,0.24,Acrylic_Organic Blue,Acrylic_Xylene,Organic Blue_Xylene
Epoxy,43.94,SupplierE_Resin,Iron Oxide Red,30.56,SupplierJ_Pigment,Water,21.94,SupplierM_Solvent,46.79,935.49,52.05,0,0.56,SupplierR_Add,0.0,None,3.0,SupplierV_Add,78.06,0.3915,0.5,Epoxy_Iron Oxide Red,Epoxy_Water,Iron Oxide Red_Water
Acrylic,55.81,SupplierA_Resin,Titanium Dioxide,25.44,SupplierH_Pigment,Mineral Spirits,13.8,SupplierO_Solvent,49.92,1575.16,71.16,0,0.0,None,0.0,None,4.95,SupplierV_Add,86.2,0.2951,0.25,Acrylic_Titanium Dioxide,Acrylic_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Epoxy,53.83,SupplierE_Resin,Organic Blue,32.57,SupplierK_Pigment,Mineral Spirits,12.02,SupplierO_Solvent,38.31,1343.76,39.53,1,0.0,None,0.0,None,1.58,SupplierV_Add,87.98,0.3702,0.22,Epoxy_Organic Blue,Epoxy_Mineral Spirits,Organic Blue_Mineral Spirits
Alkyd,49.66,SupplierD_Resin,Titanium Dioxide,23.96,SupplierH_Pigment,Xylene,23.46,SupplierP_Solvent,33.45,251.78,68.93,0,,SupplierR_Add,0.0,None,1.41,SupplierV_Add,76.54,0.313,0.47,Alkyd_Titanium Dioxide,Alkyd_Xylene,Titanium Dioxide_Xylene
Epoxy,40.31,SupplierF_Resin,Titanium Dioxide,32.58,SupplierH_Pigment,Water,24.86,SupplierM_Solvent,21.16,828.23,81.7,0,1.47,SupplierS_Add,0.0,None,0.78,SupplierV_Add,75.14,0.4336,0.62,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Epoxy,53.21,SupplierF_Resin,Organic Blue,27.26,SupplierK_Pigment,Xylene,12.17,SupplierQ_Solvent,47.62,2362.87,33.9,0,0.0,None,4.46,SupplierT_Add,2.91,SupplierV_Add,87.84,0.3103,0.23,Epoxy_Organic Blue,Epoxy_Xylene,Organic Blue_Xylene
Alkyd,55.54,SupplierD_Resin,Organic Blue,28.22,SupplierL_Pigment,Mineral Spirits,12.32,SupplierO_Solvent,29.83,1027.99,37.55,0,0.0,None,0.0,None,3.92,SupplierV_Add,87.68,0.3219,0.22,Alkyd_Organic Blue,Alkyd_Mineral Spirits,Organic Blue_Mineral Spirits
Epoxy,40.02,SupplierF_Resin,Iron Oxide Red,32.3,SupplierI_Pigment,Water,23.1,SupplierM_Solvent,31.97,1549.01,44.62,0,,None,4.58,SupplierT_Add,0.0,None,76.9,0.42,0.58,Epoxy_Iron Oxide Red,Epoxy_Water,Iron Oxide Red_Water
Epoxy,40.78,SupplierE_Resin,Organic Blue,32.47,SupplierL_Pigment,Water,22.64,SupplierM_Solvent,33.45,510.2,44.19,0,3.25,SupplierR_Add,0.0,None,0.86,SupplierV_Add,77.36,0.4197,0.56,Epoxy_Organic Blue,Epoxy_Water,Organic Blue_Water
Acrylic,49.61,SupplierA_Resin,Titanium Dioxide,26.86,SupplierG_Pigment,Water,22.68,SupplierM_Solvent,16.29,980.49,77.31,1,0.0,None,0.85,SupplierT_Add,,None,77.32,0.3474,0.46,Acrylic_Titanium Dioxide,Acrylic_Water,Titanium Dioxide_Water
Alkyd,56.15,SupplierC_Resin,Titanium Dioxide,22.79,SupplierH_Pigment,Mineral Spirits,16.36,SupplierN_Solvent,22.53,531.19,61.6,0,0.0,None,1.28,SupplierU_Add,3.43,SupplierV_Add,,0.2724,0.29,Alkyd_Titanium Dioxide,Alkyd_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Alkyd,46.33,SupplierD_Resin,Iron Oxide Red,26.65,SupplierI_Pigment,Mineral Spirits,21.56,SupplierO_Solvent,9.18,1464.32,48.0,0,,SupplierR_Add,4.94,SupplierU_Add,0.0,None,78.43,0.3398,0.47,Alkyd_Iron Oxide Red,Alkyd_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Alkyd,44.57,SupplierD_Resin,Titanium Dioxide,33.96,SupplierH_Pigment,Water,19.57,SupplierM_Solvent,11.37,1129.03,80.87,0,1.29,SupplierR_Add,0.61,SupplierU_Add,0.0,None,80.43,0.4222,0.44,Alkyd_Titanium Dioxide,Alkyd_Water,Titanium Dioxide_Water
Epoxy,42.16,SupplierE_Resin,Iron Oxide Red,31.78,SupplierJ_Pigment,Mineral Spirits,21.86,SupplierO_Solvent,34.3,1514.74,56.9,0,0.0,None,0.63,SupplierU_Add,3.57,SupplierW_Add,78.14,0.4067,,Epoxy_Iron Oxide Red,Epoxy_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Epoxy,49.31,SupplierF_Resin,Organic Blue,25.8,SupplierK_Pigment,Mineral Spirits,22.75,SupplierO_Solvent,29.09,1041.41,35.12,1,0.0,None,0.52,SupplierU_Add,1.62,SupplierW_Add,77.25,0.334,0.46,Epoxy_Organic Blue,Epoxy_Mineral Spirits,Organic Blue_Mineral Spirits
Epoxy,47.84,SupplierE_Resin,Titanium Dioxide,25.85,SupplierG_Pigment,Water,22.84,SupplierM_Solvent,41.16,1151.9,68.81,0,0.0,None,0.0,None,3.47,SupplierV_Add,77.16,0.335,0.48,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Acrylic,44.14,SupplierB_Resin,Organic Blue,31.38,SupplierL_Pigment,Mineral Spirits,17.43,SupplierN_Solvent,33.9,1529.29,50.21,0,4.12,SupplierR_Add,2.92,SupplierT_Add,0.0,None,82.56,0.3801,0.39,Acrylic_Organic Blue,Acrylic_Mineral Spirits,Organic Blue_Mineral Spirits
Acrylic,53.32,SupplierB_Resin,Iron Oxide Red,30.93,SupplierI_Pigment,Xylene,10.2,SupplierQ_Solvent,36.41,1529.06,45.55,0,0.0,None,3.06,SupplierU_Add,2.49,SupplierV_Add,89.8,0.3444,0.19,Acrylic_Iron Oxide Red,Acrylic_Xylene,Iron Oxide Red_Xylene
Alkyd,53.05,SupplierD_Resin,Iron Oxide Red,32.99,SupplierI_Pigment,Water,10.69,SupplierM_Solvent,14.41,818.58,66.72,0,3.27,SupplierR_Add,0.0,None,0.0,None,89.31,0.3694,0.2,Alkyd_Iron Oxide Red,Alkyd_Water,Iron Oxide Red_Water
Alkyd,47.12,SupplierC_Resin,Titanium Dioxide,28.38,SupplierG_Pigment,Mineral Spirits,19.0,SupplierN_Solvent,24.96,1560.19,66.59,1,1.75,SupplierS_Add,3.75,SupplierU_Add,0.0,None,,0.3504,0.4,Alkyd_Titanium Dioxide,Alkyd_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Acrylic,51.09,SupplierB_Resin,Iron Oxide Red,25.1,SupplierI_Pigment,Xylene,18.86,SupplierP_Solvent,23.49,689.83,55.32,0,3.03,SupplierS_Add,0.0,None,1.92,SupplierW_Add,81.14,0.3093,0.37,Acrylic_Iron Oxide Red,Acrylic_Xylene,Iron Oxide Red_Xylene
Epoxy,45.36,SupplierF_Resin,Organic Blue,31.5,SupplierL_Pigment,Xylene,22.47,SupplierQ_Solvent,50.68,818.87,43.74,0,0.67,SupplierS_Add,0.0,None,0.0,None,77.53,0.4063,0.5,Epoxy_Organic Blue,Epoxy_Xylene,Organic Blue_Xylene
Epoxy,43.19,SupplierF_Resin,Organic Blue,25.89,SupplierK_Pigment,Mineral Spirits,23.97,SupplierN_Solvent,33.44,506.75,45.82,0,2.02,SupplierS_Add,0.0,None,4.93,SupplierV_Add,76.03,0.3405,0.55,Epoxy_Organic Blue,Epoxy_Mineral Spirits,Organic Blue_Mineral Spirits
Acrylic,,SupplierA_Resin,Iron Oxide Red,32.25,SupplierJ_Pigment,Water,,SupplierM_Solvent,40.58,1234.55,67.61,1,4.25,SupplierR_Add,0.0,None,0.0,None,84.9,0.3799,0.31,Acrylic_Iron Oxide Red,Acrylic_Water,Iron Oxide Red_Water
